# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_lambda         13:(.)rho_ur             14:(.)rho_crit           15:(.)rho_dcdm           16:gr.fac. D             17:gr.fac. f          
       1.533281351916e+09       3.215511775936e-16       3.023264598596e-04       5.071611010016e+12       1.414490160363e+04       9.225248566894e-06       2.168811386767e+13       1.745482442817e-04       1.520780334521e+25       8.895814085935e+18       4.010736738474e+16       3.510489637255e-08       1.051337762641e+25       2.572123823692e+25       4.832937769806e+19       9.003241349243e-05       1.543150903836e-01 
       1.522622990931e+09       3.260686484114e-16       3.044427448913e-04       5.001347123523e+12       1.414490160151e+04       9.289825305724e-06       2.153735239706e+13       1.757700811767e-04       1.478933361187e+25       8.711587163394e+18       3.927676809465e+16       3.510489637255e-08       1.022408335873e+25       2.501347304997e+25       4.732850555352e+19       9.012932821280e-05       1.541491798352e-01 
       1.512038719843e+09       3.306495851412e-16       3.065738419537e-04       4.932056697946e+12       1.414490159938e+04       9.354854081709e-06       2.138763892078e+13       1.770004709184e-04       1.438237881686e+25       8.531175468848e+18       3.846337001284e+16       3.510489637255e-08       9.942749536895e+24       2.432518327175e+25       4.634836086494e+19       9.022624294717e-05       1.539836258621e-01 
       1.501528023629e+09       3.352948794150e-16       3.087198583671e-04       4.863726246608e+12       1.414490159724e+04       9.420338059111e-06       2.123896615387e+13       1.782394733768e-04       1.398662210618e+25       8.354499991237e+18       3.766681691270e+16       3.510489637255e-08       9.669157115089e+24       2.365583300195e+25       4.538851437928e+19       9.032315769564e-05       1.538184273180e-01 
       1.491090390845e+09       3.400054353911e-16       3.108808959951e-04       4.796342469684e+12       1.414490159508e+04       9.486280424338e-06       2.109132686201e+13       1.794871488406e-04       1.360175534464e+25       8.181483355770e+18       3.688675994486e+16       3.510489637255e-08       9.403093074937e+24       2.300490108650e+25       4.444854573305e+19       9.042007245834e-05       1.536535830613e-01 
       1.480725313601e+09       3.447821699303e-16       3.130570603389e-04       4.729892251606e+12       1.414490159290e+04       9.552684386104e-06       2.094471386115e+13       1.807435580207e-04       1.322747887595e+25       8.012049790044e+18       3.612285748442e+16       3.510489637255e-08       9.144350259639e+24       2.237188071181e+25       4.352804326822e+19       9.051698723537e-05       1.534890919553e-01 
       1.470432287540e+09       3.496260127745e-16       3.152484587190e-04       4.664362658517e+12       1.414490159071e+04       9.619553175587e-06       2.079912001720e+13       1.820087620529e-04       1.286350128938e+25       7.846125090852e+18       3.537477498130e+16       3.510489637255e-08       8.892727212684e+24       2.175627901016e+25       4.262660385198e+19       9.061390202686e-05       1.533249528683e-01 
       1.460210811809e+09       3.545379067275e-16       3.174551966367e-04       4.599740935747e+12       1.414490158850e+04       9.686890046578e-06       2.065453824564e+13       1.832828225011e-04       1.250953919288e+25       7.683636591696e+18       3.464218481378e+16       3.510489637255e-08       8.648028020995e+24       2.115761667598e+25       4.174383270012e+19       9.071081683292e-05       1.531611646733e-01 
       1.450060389037e+09       3.595188078385e-16       3.196773832315e-04       4.536014505336e+12       1.414490158628e+04       9.754698275649e-06       2.051096151123e+13       1.845658013600e-04       1.216531699245e+25       7.524513130952e+18       3.392476614496e+16       3.510489637255e-08       8.410062162391e+24       2.057542759262e+25       4.087934320421e+19       9.080773165367e-05       1.529977262482e-01 
       1.439980525311e+09       3.645696855881e-16       3.219151221856e-04       4.473170963583e+12       1.414490158404e+04       9.822981162306e-06       2.036838282761e+13       1.858577610583e-04       1.183056667754e+25       7.368685020714e+18       3.322220478230e+16       3.510489637255e-08       8.178644357247e+24       2.000925846945e+25       4.003275676221e+19       9.090464648924e-05       1.528346364757e-01 
